DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2014-11-27;Quinta-feira;Thanksgiving Day;Federal Holiday de 2014;
2014-11-28;Sexta-feira;Black Friday;Observance;
2014-11-28;Sexta-feira;Native American Heritage Day;Observance;
2014-11-29;Sábado;International Day of Solidarity with the Palestinian People;United Nations observance;
2014-11-30;Domingo;First Sunday of Advent;Christian;
2014-12-01;Segunda-feira;World AIDS Day;United Nations observance;
2014-12-01;Segunda-feira;Cyber Monday;Observance;
2014-12-02;Terça-feira;International Day for the Abolition of Slavery;United Nations observance;
2014-12-02;Terça-feira;Giving Tuesday;Observance;
2014-12-03;Quarta-feira;International Day of Persons with Disabilities;United Nations observance;
2014-12-05;Sexta-feira;International Volunteer Day for Economic and Social Development;United Nations observance;
2014-12-05;Sexta-feira;World Soil Day;United Nations observance;
2014-12-06;Sábado;St Nicholas Day;Observance;
2014-12-07;Domingo;International Civil Aviation Day;United Nations observance;
2014-12-07;Domingo;Pearl Harbor Remembrance Day;Observance;
2014-12-08;Segunda-feira;Feast of the Immaculate Conception;Christian;
2014-12-09;Terça-feira;International Anti-Corruption Day;United Nations observance;
2014-12-10;Quarta-feira;Human Rights Day;United Nations observance;
2014-12-11;Quinta-feira;International Mountain Day;United Nations observance;
2014-12-12;Sexta-feira;Feast of Our Lady of Guadalupe;Christian;
2014-12-13;Sábado;National Guard Birthday;Observance;
2014-12-15;Segunda-feira;Bill of Rights Day;Observance;
2014-12-17;Quarta-feira;Chanukah/Hanukkah (first day);Jewish holiday;
2014-12-17;Quarta-feira;Pan American Aviation Day;Observance;
2014-12-17;Quarta-feira;Wright Brothers Day;Observance;
2014-12-18;Quinta-feira;International Migrants Day;United Nations observance;
2014-12-18;Quinta-feira;Arabic Language Day;United Nations observance;
2014-12-20;Sábado;International Human Solidarity Day;United Nations observance;
2014-12-21;Domingo;December Solstice;Season;
2014-12-24;Quarta-feira;Last Day of Chanukah;Jewish holiday;
2014-12-24;Quarta-feira;Christmas Eve;Observance, Christian;
2014-12-25;Quinta-feira;Christmas Day;Federal Holiday de 2014;
2014-12-26;Sexta-feira;Kwanzaa (first day);Observance;
2014-12-31;Quarta-feira;New Year's Eve;Observance;
2015-01-01;Quinta-feira;Asarah B'Tevet;Jewish holiday;
2015-01-01;Quinta-feira;New Year's Day;Federal Holiday de 2015;
2015-01-03;Sábado;The Prophet's Birthday;Muslim;
2015-01-04;Domingo;World Braille Day;Worldwide observance de 2015;
2015-01-06;Terça-feira;Epiphany;Christian;
2015-01-07;Quarta-feira;Orthodox Christmas Day;Orthodox;
2015-01-07;Quarta-feira;International Programmers' Day;Worldwide observance de 2015;
2015-01-13;Terça-feira;Stephen Foster Memorial Day;Observance;
2015-01-14;Quarta-feira;Orthodox New Year;Orthodox;
2015-01-18;Domingo;World Religion Day;Worldwide observance de 2015;
2015-01-19;Segunda-feira;Martin Luther King Jr. Day;Federal Holiday de 2015;
2015-01-25;Domingo;World Leprosy Day;Worldwide observance de 2015;
